ensembl_gene_ids,baseMean,log2FoldChange,lfcSE,pvalue,padj,mgi_symbols,gene_symbols,ENTREZ_IDs
ENSMUSG00000025900,0.16485600460543468,-0.024266950672254775,0.6014427073255282,0.8537688666730124,NA,MGI:MGI:1341105,Rp1,19888
ENSMUSG00000025902,0.3355431231585098,-7.344327417592333e-4,0.598920642865962,0.9733674561944081,NA,MGI:MGI:107543,Sox17,20671
ENSMUSG00000098104,477.6014474462347,0.26066414211440336,0.11808224743682251,0.024161016669209313,0.06032258337254076,NA,NA,NA
ENSMUSG00000033845,689.5544219031972,0.15637609727384505,0.10082315715304681,0.11598357905285427,0.22472927574077087,MGI:MGI:1351639,Mrpl15,27395
ENSMUSG00000025903,3002.5346426428323,0.21620622933757466,0.06506009951505491,8.370804563349843e-4,0.003032406908533497,MGI:MGI:1344588,Lypla1,18777
ENSMUSG00000033813,888.686092901569,-0.0532786194379444,0.09459579993103212,0.5699450821113746,0.7286656964420813,MGI:MGI:1196624,Tcea1,21399
ENSMUSG00000062588,18.376662005401855,0.27357049144586554,0.4449071229794911,0.38569323585859355,0.5604881457817217,NA,NA,NA
ENSMUSG00000091305,0.15939538574174897,0.023752489455263596,0.6012451354268766,0.8031983443926559,NA,NA,NA,NA
ENSMUSG00000085623,0.15795740454300544,-0.024255882438582198,0.6014444058223389,0.8537610393113703,NA,MGI:MGI:3801909,Gm16041,102631647
ENSMUSG00000033793,1106.2508253775022,0.19822283690377399,0.08904430395123528,0.024622301765367147,0.061293005896966325,MGI:MGI:1914864,Atp6v1h,108664
ENSMUSG00000025905,1.7766425476492085,-0.13593635643206523,0.6086278939432028,0.24287083249360317,0.4002097768639363,MGI:MGI:97439,Oprk1,18387
ENSMUSG00000033774,0.15280093944709142,-0.024164230760484184,0.6014385747063579,0.8523752006024394,NA,MGI:MGI:891989,Npbwr1,226304
ENSMUSG00000025907,3435.6207394153894,0.02960344777883491,0.06551113151732113,0.6649044236041352,0.8006038118770519,MGI:MGI:1341850,Rb1cc1,12421
ENSMUSG00000090031,28.290176425945315,-0.1733450166037356,0.3791264718768428,0.5561503970916952,0.7173510651174002,NA,NA,NA
ENSMUSG00000073741,0.15939538574174897,0.023752489455263596,0.6012451354268766,0.8031983443926559,NA,NA,NA,NA
ENSMUSG00000033740,0.5030785745996177,-0.024806022030259858,0.5983933317092853,0.8386017456080767,NA,MGI:MGI:2446700,St18,240690
ENSMUSG00000051285,1538.762810327008,-0.46801460297389835,0.07886368268225097,2.00931543475726e-9,1.590319345661226e-8,MGI:MGI:2441773,Pcmtd1,319263
ENSMUSG00000098201,0.7929671388802859,-0.08164527658713248,0.6009617593355481,0.5031762775559264,NA,NA,NA,NA
ENSMUSG00000048538,36.07776046652624,0.20036116805908097,0.35493936825944206,0.4866568315307063,0.658223349874581,NA,NA,NA
ENSMUSG00000097797,3.2769394895255295,0.018452069743474034,0.5576220589435179,0.928525286111885,0.9622296468013567,NA,NA,NA
ENSMUSG00000086235,1.3279256082725597,0.05737667284912758,0.5997567081405184,0.3940903887288662,NA,NA,NA,NA
ENSMUSG00000084353,165.37849151623115,0.520616189482663,0.19602289158109484,0.004831270738290073,0.014785706701043448,NA,NA,NA
ENSMUSG00000076135,2.645952392853191,-0.030467276669359503,0.566610814907809,0.8626319643407417,0.9249818890415995,NA,NA,NA
ENSMUSG00000061024,537.4475188175782,0.04318472946590677,0.11440525332455372,0.7033689975598512,0.8267379733124592,MGI:MGI:1929721,Rrs1,59014
ENSMUSG00000025911,3.463530331379749,-0.05218248409167721,0.5491666061920463,0.8162738649358847,0.8976350308565395,MGI:MGI:1923437,Adhfe1,76187
ENSMUSG00000079671,0.16485600460543468,-0.024266950672254775,0.6014427073255282,0.8537688666730124,NA,MGI:MGI:1919731,2610203C22Rik,72481
ENSMUSG00000081441,5.167110232343302,0.0813351498403419,0.5389232777213957,0.7347221035584822,0.8473775809256006,MGI:MGI:3644104,Gm6161,620542
ENSMUSG00000025912,163.2494673410757,0.7866605139876491,0.19907689645232052,2.9875495485082218e-5,1.4146972741854236e-4,MGI:MGI:99925,Mybl1,17864
ENSMUSG00000045210,3111.9942580527277,0.10580736625272211,0.060910842937622965,0.08460685456608476,0.17336973238582024,MGI:MGI:1917925,Vcpip1,70675
ENSMUSG00000097893,2.293222903038227,0.38568007322751124,0.7810345088259538,0.020276954215548492,0.05160639122702544,NA,NA,NA
ENSMUSG00000025915,197.57729206100373,0.6080462655332114,0.1825906244828838,4.542044922730837e-4,0.0017373444322566346,MGI:MGI:2182368,Sgk3,170755
ENSMUSG00000046334,14.19863438190063,0.10131740449393678,0.4578700446539563,0.7346672010561772,0.8473775809256006,MGI:MGI:3647661,Gm6195,108167613
ENSMUSG00000046101,1.4037368816872093,0.07547448309053222,0.6010675508617653,0.3747344781794099,0.5492904145219313,MGI:MGI:3045334,Mcmdc2,240697
ENSMUSG00000098234,412.3283289424765,-0.37092438146855095,0.1321039604959923,0.0038986291123394917,0.012222598679516684,MGI:MGI:1921074,Snhg6,73824
ENSMUSG00000093178,11.315254833799466,-0.24129759423892844,0.5105455264427763,0.4214950069965914,0.5973846813528315,MGI:MGI:2387894,Snord87,266793
ENSMUSG00000025916,0.15939538574174897,0.023752489455263596,0.6012451354268766,0.8031983443926559,NA,MGI:MGI:1921138,Ppp1r42,69312
ENSMUSG00000025917,1293.7301615785861,0.2502306105039663,0.0786369969061053,0.0013152109695237495,0.004581916934306652,MGI:MGI:1349415,Cops5,26754
